City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,43,45,5.75,haze
79,Geraldton,AU,-28.7667,114.6,72.01,68,0,18.41,clear sky
80,Cape Town,ZA,-33.9258,18.4232,83.26,47,0,12.66,clear sky
81,Darnah,LY,32.767,22.6367,52.56,72,100,28.3,overcast clouds
82,Port Pirie,AU,-33.1833,138.0167,69.89,66,14,13.65,few clouds
83,New Norfolk,AU,-42.7826,147.0587,60.71,64,91,1.3,overcast clouds
84,Izhma,RU,65.0083,53.9113,11.57,92,100,9.04,overcast clouds
85,Roma,US,43.2128,-75.4557,32.13,94,100,4.56,overcast clouds
86,Ahipara,NZ,-35.1667,173.1667,73.44,97,88,7.0,overcast clouds
87,Norman Wells,CA,65.282,-126.8329,-27.36,68,75,4.61,light snow
88,Muros,ES,42.7762,-9.0603,67.98,60,0,4.9,clear sky
89,Dingle,PH,10.9995,122.6711,76.6,85,73,8.88,broken clouds
90,Rongcheng,CN,30.634,117.8517,38.46,95,100,4.03,overcast clouds
91,Bredasdorp,ZA,-34.5322,20.0403,79.92,54,13,8.05,few clouds
92,North Branch,US,45.5113,-92.9802,19.49,87,100,5.97,overcast clouds
93,San Quintin,MX,30.4833,-115.95,56.43,36,57,0.6,broken clouds
94,Andenes,NO,69.3143,16.1194,32.07,93,100,20.71,overcast clouds
95,Hami,CN,42.8,93.45,27.82,36,64,4.72,broken clouds
96,Namatanai,PG,-3.6667,152.4333,81.05,81,100,4.94,light rain
97,Wawa,NG,9.9022,4.4192,94.75,12,100,3.38,overcast clouds
98,Libreville,GA,0.3925,9.4537,87.82,70,20,9.22,few clouds
99,Chernaya Kholunitsa,RU,58.8511,51.7154,14.97,97,100,3.98,overcast clouds
100,Bethel,US,41.3712,-73.414,37.49,92,100,4.61,overcast clouds
101,Laguna,US,38.421,-121.4238,57.7,90,0,0.0,mist
102,Abonnema,NG,4.7084,6.7931,89.89,33,6,2.04,clear sky
103,Georgetown,MY,5.4112,100.3354,78.75,93,20,3.44,few clouds
104,Hamilton,US,39.1834,-84.5333,18.93,90,0,1.01,clear sky
105,Ancud,CL,-41.8697,-73.8203,62.42,85,87,6.78,overcast clouds
106,Edmonton,CA,53.5501,-113.4687,36.39,67,100,5.75,overcast clouds
107,Saskylakh,RU,71.9167,114.0833,-2.81,87,100,11.14,overcast clouds
108,Saldanha,ZA,-33.0117,17.9442,86.05,79,96,13.6,overcast clouds
109,Lebu,CL,-37.6167,-73.65,63.73,78,92,15.48,overcast clouds
110,Polyarnyy,RU,69.1989,33.4478,25.27,92,26,10.76,scattered clouds
111,Butaritari,KI,3.0707,172.7902,81.95,77,91,17.4,light rain
112,Baghdad,IQ,33.3406,44.4009,67.91,28,0,2.3,clear sky
113,Feijo,BR,-8.1642,-70.3536,75.72,88,100,2.28,overcast clouds
114,Kuusamo,FI,65.9667,29.1833,23.04,93,100,6.91,overcast clouds
115,Chokurdakh,RU,70.6333,147.9167,-44.32,100,94,5.1,overcast clouds
116,Thompson,CA,55.7435,-97.8558,17.76,86,100,0.0,overcast clouds
117,Tessalit,ML,20.1986,1.0114,81.88,6,0,7.67,clear sky
118,Coxim,BR,-18.5067,-54.76,79.02,68,71,6.4,broken clouds
119,Tuatapere,NZ,-46.1333,167.6833,50.83,96,22,3.65,few clouds
120,Avarua,CK,-21.2078,-159.775,77.05,88,40,6.91,scattered clouds
121,Nara,JP,34.6851,135.8049,42.04,78,78,2.73,broken clouds
122,Chanika,TZ,-5.4167,38.0167,76.89,75,99,3.76,light rain
123,Megion,RU,61.0296,76.1136,-4.99,95,5,10.38,clear sky
124,Kenai,US,60.5544,-151.2583,29.08,83,100,25.32,overcast clouds
125,Villamontes,BO,-21.25,-63.5,69.24,88,94,0.0,overcast clouds
126,Port Lincoln,AU,-34.7333,135.8667,63.03,87,0,7.14,clear sky
127,Baykit,RU,61.67,96.37,-18.63,98,11,4.05,few clouds
128,Torbay,CA,47.6666,-52.7314,30.27,88,75,11.5,light shower snow
129,Saint-Nazaire,FR,47.2833,-2.2,47.93,98,100,5.75,overcast clouds
130,Jamestown,US,42.097,-79.2353,29.52,93,100,9.22,overcast clouds
131,Nikolskoye,RU,59.7035,30.7861,32.88,94,99,4.0,overcast clouds
132,Bermeo,ES,43.4209,-2.7215,61.0,69,11,11.23,few clouds
133,Chuy,UY,-33.6971,-53.4616,69.1,62,100,8.61,overcast clouds
134,Grand Gaube,MU,-20.0064,57.6608,84.38,64,11,7.0,few clouds
135,San Patricio,US,28.017,-97.5169,46.24,54,0,5.03,clear sky
136,Rio Pardo De Minas,BR,-15.6097,-42.5397,78.35,71,94,3.58,overcast clouds
137,Dikson,RU,73.5069,80.5464,5.34,92,100,23.26,overcast clouds
138,Lukang,TW,24.0567,120.4352,65.44,82,10,22.41,clear sky
139,Poli,TZ,-3.3333,36.8,77.65,41,68,5.88,broken clouds
140,Muravlenko,RU,63.7898,74.523,-7.4,91,60,11.27,broken clouds
141,Kahului,US,20.8947,-156.47,72.84,69,0,5.75,clear sky
142,Olafsvik,IS,64.8945,-23.7142,34.29,79,100,18.63,snow
143,Constitucion,CL,-35.3333,-72.4167,69.01,46,5,6.29,clear sky
144,Airai,TL,-8.9266,125.4092,62.44,94,100,0.65,overcast clouds
145,Severobaykalsk,RU,55.65,109.3167,5.2,86,100,5.95,overcast clouds
146,Arlit,NE,18.7369,7.3853,85.5,4,0,3.22,clear sky
147,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,61,0,4.61,clear sky
148,Yellowknife,CA,62.456,-114.3525,-15.59,82,40,8.05,scattered clouds
149,Stykkisholmur,IS,65.0757,-22.7297,29.88,91,100,18.07,snow
150,Grosse Pointe Farms,US,42.4092,-82.8919,24.98,77,100,8.05,overcast clouds
151,Caluquembe,AO,-13.7833,14.6833,60.03,87,100,3.31,overcast clouds
152,Nago,JP,26.5881,127.9761,66.27,77,58,14.03,broken clouds
153,Cololaca,HN,14.3,-88.8833,60.01,68,6,5.44,clear sky
154,Hilo,US,19.7297,-155.09,67.24,91,0,5.75,clear sky
155,Luderitz,NA,-26.6481,15.1594,74.68,66,1,10.83,clear sky
156,Hasaki,JP,35.7333,140.8333,39.6,74,100,11.86,light rain
157,Lima,PE,-12.0432,-77.0282,71.91,82,0,3.44,fog
158,Nanortalik,GL,60.1432,-45.2371,12.79,60,1,43.75,clear sky
159,Balakhta,RU,55.38,91.6,-3.3,99,97,4.59,overcast clouds
160,Banjar,ID,-8.19,114.9675,82.26,93,75,2.51,broken clouds
161,Pangnirtung,CA,66.1451,-65.7125,-13.0,70,75,4.61,light snow
162,Antofagasta,CL,-23.65,-70.4,72.21,53,5,5.08,clear sky
163,Beloha,MG,-25.1667,45.05,84.65,63,91,21.5,light rain
164,Husavik,IS,66.0449,-17.3389,30.11,95,100,21.07,light snow
165,Ulladulla,AU,-35.35,150.4667,65.3,87,47,4.21,scattered clouds
166,Diu,IN,20.7141,70.9822,72.54,64,0,15.19,clear sky
167,Ilulissat,GL,69.2167,-51.1,-2.18,71,75,12.66,broken clouds
168,Katsuura,JP,35.1333,140.3,46.18,67,100,4.32,overcast clouds
169,Mahon,ES,39.8885,4.2658,55.96,71,20,13.8,few clouds
170,Moroni,KM,-11.7022,43.2551,71.6,94,100,18.41,thunderstorm with heavy rain
171,Pringsewu,ID,-5.3582,104.9744,74.98,96,100,1.43,overcast clouds
172,Dabat,ET,12.9842,37.765,64.65,39,100,2.24,overcast clouds
173,San Pedro,PH,14.35,121.0167,81.63,77,20,6.91,few clouds
174,Jalu,LY,29.0331,21.5482,68.05,32,100,15.73,overcast clouds
175,Wiwili,NI,13.6268,-85.8254,75.94,90,82,1.68,broken clouds
176,Kapit,MY,2.0167,112.9333,75.11,98,100,0.72,overcast clouds
177,Redcar,GB,54.6166,-1.06,53.92,62,100,7.0,overcast clouds
178,Ayagoz,KZ,47.9714,80.4392,8.04,96,88,9.51,overcast clouds
179,Newport,GB,51.5877,-2.9984,55.45,79,100,17.13,overcast clouds
180,Castro,BR,-24.7911,-50.0119,70.93,72,32,4.79,scattered clouds
181,Kirakira,SB,-10.4544,161.9205,79.63,87,100,13.15,heavy intensity rain
182,Fukue,JP,32.6881,128.8419,48.24,60,53,17.96,broken clouds
183,Yurla,RU,59.3259,54.3223,6.94,98,64,4.07,broken clouds
184,Bulaevo,KZ,54.9056,70.4439,5.23,97,89,5.95,overcast clouds
185,Hofn,IS,64.2539,-15.2082,30.22,74,75,12.66,broken clouds
186,Cabo San Lucas,MX,22.8909,-109.9124,64.51,49,0,2.26,clear sky
187,Chapais,CA,49.7834,-74.8492,10.18,96,98,6.04,overcast clouds
188,Ponta Do Sol,PT,32.6667,-17.1,68.13,55,0,7.14,clear sky
189,San Vicente,AR,-26.6167,-54.1333,73.35,35,0,5.08,clear sky
190,Troitsk,RU,54.0979,61.5773,10.18,97,100,3.51,overcast clouds
191,Goderich,CA,43.7501,-81.7165,28.9,80,99,11.5,snow
192,Xihe,CN,31.6864,113.4659,37.33,77,100,3.65,light rain
193,Channel-Port Aux Basques,CA,47.5702,-59.1367,33.51,99,100,14.23,snow
194,Caldono,CO,2.7974,-76.4832,60.98,94,99,1.23,light rain
195,Nome,US,64.5011,-165.4064,-5.73,49,0,28.77,clear sky
196,Dunedin,NZ,-45.8742,170.5036,57.79,82,3,1.01,clear sky
197,Plettenberg Bay,ZA,-34.0527,23.3716,74.91,58,12,3.87,few clouds
198,Yinchuan,CN,38.4681,106.2731,20.46,74,1,1.57,clear sky
199,Pisco,PE,-13.7,-76.2167,66.02,94,75,3.44,mist
200,Hutang,CN,31.5333,119.4833,37.53,87,100,3.18,overcast clouds
201,Srednekolymsk,RU,67.45,153.6833,-41.94,99,66,5.26,broken clouds
202,Kutum,SD,14.2,24.6667,75.72,7,11,7.92,few clouds
203,Labe,GN,11.3182,-12.2833,86.47,8,98,7.25,overcast clouds
204,Fortuna,US,40.5982,-124.1573,38.32,100,100,5.75,overcast clouds
