City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,Cavalcante,BR,76.03,overcast clouds,-13.8,-47.46,Pousada Vila dos Ipês
277,Sulangan,PH,81.05,few clouds,11.14,123.72,Maia's Beach Resort
280,Namwala,ZM,75.7,light rain,-15.75,26.44,Corner Point Lodge
288,Atambua,ID,76.15,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
290,Bilma,NE,81.28,clear sky,18.69,12.92,Expeditions Ténére voyages
298,Auki,SB,78.42,light rain,-8.77,160.7,Auki Motel
309,Chaiya,TH,82.38,overcast clouds,9.39,99.2,JP Place
310,Port Elizabeth,ZA,78.1,broken clouds,-33.92,25.57,39 On Nile Guest House
313,Isangel,VU,79.95,overcast clouds,-19.55,169.27,Tanna Lodge
314,Bambous Virieux,MU,83.21,broken clouds,-20.34,57.76,Casa Tia Villa
323,Binga,ZW,81.54,light rain,-17.62,27.34,Lakeview Inn Binga
324,Bengkulu,ID,79.23,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
325,Eydhafushi,MV,81.86,broken clouds,5.1,73.07,Soneva Fushi
332,Alenquer,BR,77.34,scattered clouds,-1.94,-54.74,Detinha Hotel
339,Caazapa,PY,79.38,clear sky,-26.15,-56.4,Cabaña San Miguel - 11 Estrellas
345,Hambantota,LK,80.94,scattered clouds,6.12,81.12,Bungalow 63
346,Labuhan,ID,79.66,overcast clouds,-6.88,112.21,DoubleFAG
359,Cairns,AU,78.75,overcast clouds,-16.92,145.77,Mantra Trilogy Cairns
360,Rengo,CL,76.89,clear sky,-34.42,-70.87,Hostal Cartagena
365,Kupang,ID,79.23,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
366,Puerto Narino,CO,75.15,overcast clouds,-3.77,-70.38,Eware Refugio Amazonico
368,Bayeux,BR,84.83,broken clouds,-7.12,-34.93,Hotel Villa Rica
371,The Valley,AI,79.83,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
374,Monrovia,LR,87.57,overcast clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
377,Muisne,EC,76.21,overcast clouds,0.6,-80.03,Quinta Samay
383,Namanga,KE,84.02,scattered clouds,-2.54,36.79,Hillsgate Home
387,Moerai,PF,79.5,overcast clouds,-22.43,-151.33,Le Manotel
390,Port Keats,AU,81.48,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
391,Kavieng,PG,82.22,light rain,-2.57,150.8,Nusa Island Retreat
398,Muncar,ID,77.7,broken clouds,-8.43,114.33,Zaky Homestay
402,Sinnamary,GF,78.75,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
404,Cabedelo,BR,84.87,broken clouds,-6.98,-34.83,Hotel Pigalle
406,Ambatondrazaka,MG,84.15,broken clouds,-17.83,48.42,Hotel Zama Meva
411,Miandrivazo,MG,87.58,overcast clouds,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
412,Omboue,GA,82.99,light rain,-1.57,9.26,Hotel Olako
413,Namibe,AO,80.58,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
415,Saint-Georges,GD,82.08,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
419,Morondava,MG,82.44,light rain,-20.28,44.28,La Case Bambou
420,Richards Bay,ZA,82.06,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
425,Amahai,ID,79.92,overcast clouds,-3.33,128.92,HOTEL ISABELA
426,Santa Isabel,BR,75.36,overcast clouds,-23.32,-46.22,Chácara Sombra do Altíssimo
